"","ID1","CMODE6","CMODE5","MC","AGE","AGE2","RACE","GEND","EDUC","STUD","HHSIZE","HHMEMEMP","HHMEMSTU","HHMEM16L","HHMEM65P","HHINC","DISAB","DLIC","HHVEHBIKE","HHVEHAUTO","TPASS","VSHMEMAUTO","VSHMEMBIKE","HTYPE","HTEN","HDUR","WSELF","WDAYS1","WFLEX","TYPSAT","TYPSATTT","TTIDEAL","TPORT","DAYTempMax","DAYTempMin","DAYTempFrz","DAYTempAvgDev","DAYWeatherRAIN","DAYWeatherMIST","DAYWeatherFOG","DAYWeatherSNOW","DAYPrecip","DAYPrecipTrace","DAYPrecipTenth","DAYPrecipQuart","DAYPrecipHalf","AV_W","GDIST_W","GTT_W","GCO_W","TAUSE3_W","TELIKE3_W","AV_B","GDIST_B","GTT_B","GCO_B","TAUSE3_B","TELIKE3_B","AV_D","GDIST_D","GTT_D","GCO_D","TAUSE3_D","TELIKE3_D","AV_P","GDIST_P","GTT_P","GCO_P","TAUSE3_P","TELIKE3_P","AV_T","GDIST_T","GTT_T","GCO_T","TAUSE3_T","TELIKE3_T"
"384",10384,"Public transit","Tran","T","65+","55+","White-alone","Male","UG deg","No",2,0,0,0,1,"100-150k","No","Yes",1,2,"No","No","No","SF","Owned","0-5 years","No",2,"Somewhat flexible","Neither satsfied nor dissatisfied","Somewhat dissatisfied",10,"Yes",65,49,0,8.1,1,0,0,0,0.06,1,0,0,0,0,13.0885627932872,269.05,0,NA,NA,0,14.9936868686869,87.35,0,NA,NA,1,19.7080301041915,37.9166666666667,7.46350376302394,"Wasted","Disliked",0,19.7080301041915,34.4166666666667,3.73175188151197,NA,NA,1,14.3791507595641,66.45,2.5,"Useful","Neither"
"386",10386,"Public transit","Tran","T","18-34","18-34","White-alone","Female","Grad deg","No",2,0,0,0,0,"50-75k","No","Yes",4,2,"Yes","Yes","No","MF","Rented","0-5 years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat satsified",10,"Yes",64,47,0,6.2,0,0,1,0,0,0,0,0,0,0,16.5359301678199,339,0,NA,NA,0,17.7196422890321,114.666666666667,0,NA,NA,1,20.1373975980275,29.4333333333333,2.51717469975344,"Wasted","Neither",0,20.1373975980275,28.4333333333333,1.25858734987672,NA,NA,1,17.2119820249742,57.75,1,"Wasted","Liked"
"388",10388,"Public transit","Tran","T","45-54","45-54","White-alone","Female","UG deg","No",3,1,1,1,0,"100-150k","No","Yes",3,3,"Yes","No","No","SF","Owned","5+ years","No",4,"Somewhat inflexible","Very dissatisfied","Very dissatisfied",15,"Yes",64,47,0,6.2,0,0,1,0,0,0,0,0,0,0,16.1115336435218,323.666666666667,0,NA,NA,0,18.5734063071661,106.483333333333,0,NA,NA,1,18.1651654338662,52.95,7.27064567923328,"Wasted","Liked",0,18.1651654338662,49.45,3.63532283961664,NA,NA,1,20.0361140936928,63.6833333333333,1,"Neither","Neither"
"389",10389,"Walking","Walk","W","65+","55+","White-alone","Male","UG deg","No",2,0,0,0,0,"100-150k","No","Yes",4,1,"No","Yes","No","SF","Owned","5+ years","No",5,"Somewhat flexible","Very satisfied","Very satisfied",25,"Yes",64,47,0,6.2,0,0,1,0,0,0,0,0,0,1,3.69902270738885,75.7333333333333,0,"Useful","Liked",1,3.69032351069753,23.7,0,"Useful","Liked",0,6.08011711604231,18.9333333333333,5.76001463950529,NA,NA,0,6.08011711604231,15.4333333333333,2.88000731975264,NA,NA,0,3.70585779050346,30.6,2.5,NA,NA
"390",10390,"Public transit","Tran","T","45-54","45-54","White-alone","Male","HS-col","No",1,0,0,0,0,"0-50k","Yes","No",1,0,"Yes","No","No","MF","Rented","5+ years","Yes",2,"Somewhat flexible","Somewhat satsified","Somewhat satsified",0,"Yes",66,52,0,8.9,1,0,0,0,0.05,1,0,0,0,1,1.92687206712797,40.0166666666667,0,"Useful","Disliked",1,2.09091406187863,14.5166666666667,0,"Useful","Liked",0,1.94986280124075,12.65,0.243732850155094,NA,NA,0,1.94986280124075,11.65,0.121866425077547,NA,NA,1,2.64890539250775,28.7,2.5,"Useful","Liked"
"391",10391,"Automobile, driver","AutoD","D","55-64","55+","White-alone","Male","HS-col","No",5,2,1,0,0,"75-100k","No",NA,3,3,"Yes","No","No","SF","Owned","5+ years","Yes",6,"Somewhat inflexible","Neither satsfied nor dissatisfied","Neither satsfied nor dissatisfied",5,"Yes",64,40,0,5.1,0,1,1,0,0,0,0,0,0,0,7.51113497176489,148.133333333333,0,NA,NA,0,7.5279119939553,39.75,0,NA,NA,1,8.16668157957528,16.65,1.02083519744691,"Neither","Liked",1,8.16668157957528,15.65,0.510417598723455,"Neither","Liked",0,8.35060745247753,19.0333333333333,1,NA,NA
"392",10392,"Bicycling","Bike","B","18-34","18-34","Non-white/multiple","Female","UG deg","No",4,3,1,0,0,"0-50k","No","Yes",4,2,"No","Yes","No","SF","Rented","0-5 years","No",5,"Somewhat flexible","Very satisfied","Very satisfied",15,"Yes",69,45,0,7.4,0,1,1,0,0,0,0,0,0,0,5.33012208701185,106.55,0,NA,NA,1,6.35041358466555,34.8666666666667,0,"Useful","Liked",0,6.17332279487791,31.1166666666667,5.77166534935974,NA,NA,0,6.17332279487791,27.6166666666667,2.88583267467987,NA,NA,1,5.84213194941541,43.6666666666667,2.5,"Useful","Liked"
"393",10393,"Automobile, passenger","AutoP","P","55-64","55+","White-alone","Female","HS-col","No",2,1,0,0,0,"100-150k","No","Yes",2,2,"Yes","No","No","SF","Owned","5+ years","No",1,"Somewhat flexible","Somewhat satsified","Somewhat satsified",10,"Yes",64,49,0,8.7,1,0,0,0,0.09,1,0,0,0,0,23.9190626739839,488.633333333333,0,NA,NA,0,25.5644535910284,155.25,0,NA,NA,0,25.9739372067128,45.5666666666667,8.2467421508391,NA,NA,1,25.9739372067128,42.0666666666667,4.12337107541955,"Wasted","Liked",1,25.3674789230892,84.9166666666667,1,"Neither","Liked"
"395",10395,"Automobile, driver","AutoD","D","18-34","18-34","White-alone","Female","UG deg","No",3,0,0,0,0,"0-50k","No","Yes",1,2,"No","Yes","No","MF","Rented","0-5 years","No",5,"Somewhat inflexible","Somewhat dissatisfied","Neither satsfied nor dissatisfied",10,"Yes",66,52,0,8.9,1,0,0,0,0.05,1,0,0,0,0,19.0742314881094,391.4,0,NA,NA,0,21.2030491927145,138.116666666667,0,NA,NA,1,20.311381531854,31.1333333333333,2.53892269148175,"Wasted","Liked",0,20.311381531854,30.1333333333333,1.26946134574087,NA,NA,1,22.2649725602482,88.1,4,"Neither","Neither"
"396",10396,"Automobile, driver","AutoD","D","45-54","45-54","White-alone","Female","Grad deg","No",3,1,1,0,0,"100-150k","No","Yes",2,2,"No","No","No","SF","Owned","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat dissatisfied",20,"Yes",65,43,0,6.9,0,1,1,0,0,0,0,0,0,0,14.8781118269307,304.283333333333,0,NA,NA,0,16.4128986717569,97.6,0,NA,NA,1,14.8538783504335,38.0166666666667,1.85673479380418,"Useful","Neither",1,14.8538783504335,37.0166666666667,0.928367396902092,"Useful","Liked",0,18.8294112383679,96.3,2.5,NA,NA
